date,userId,leaveTypeId,approved,approvedMinutes,unpaid,unpaidMinutes,deniedMinutes,deniedDays,pending,pendingMinutes,ptoCost,remaining
2023-05-17,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-18,13214529,4380395,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,10.0
2023-05-18,13214575,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-18,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-19,13214552,4380392,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,4.0
2023-05-19,13214529,4380395,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,10.0
2023-05-19,13214575,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-19,13218981,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-19,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-19,13324714,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2023-05-20,13226587,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-20,13214575,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-20,13218981,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-20,13221161,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2023-05-20,13214591,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-20,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-20,13324714,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2023-05-21,13218981,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-21,13214591,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,13214548,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-21,13324714,4380395,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2023-05-22,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-22,13214545,4380392,1.0,390.0,1.0,390.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-22,13214591,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-22,13214552,4380392,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,4.0
2023-05-22,13221155,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2023-05-23,13214591,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-23,13221155,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2023-05-23,13214613,4380392,1.0,360.0,1.0,360.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-23,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-23,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-24,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-24,13214599,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-24,13214591,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-24,13221155,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2023-05-24,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-25,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-25,13214599,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-25,13214591,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-25,13221155,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2023-05-25,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-26,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
