scheduled,scheduledMinutes,lateCount,actual,actualMinutes,group0,group1,group2,date,sickCallout,noShow
1.0,480.0,0.0,1.0,541.0,13214529,13208374,13207004,2023-05-03,,
1.0,540.0,0.0,1.0,485.0,13214528,13216732,13207004,2023-05-03,,
1.0,420.0,0.0,1.0,405.0,13218821,13216732,13207005,2023-05-03,,
1.0,480.0,1.0,1.0,385.0,13221173,13207018,13216152,2023-05-03,,
1.0,555.0,0.0,1.0,647.0,13221159,13207018,13216152,2023-05-03,,
1.0,660.0,0.0,1.0,675.0,13221166,13208378,13207004,2023-05-03,,
1.0,240.0,0.0,1.0,236.0,13221175,13216732,13207005,2023-05-03,,
1.0,480.0,0.0,1.0,536.0,13221178,13207018,13221142,2023-05-03,,
1.0,480.0,0.0,1.0,542.0,13221162,13208378,13221141,2023-05-03,,
1.0,480.0,0.0,1.0,437.0,13221169,13207018,13221139,2023-05-03,,
1.0,480.0,0.0,1.0,512.0,13221165,13208378,13221141,2023-05-03,,
2.0,720.0,0.0,1.0,690.0,13214599,13216738,13207005,2023-05-03,,
1.0,300.0,0.0,1.0,360.0,13214562,13216738,13207005,2023-05-03,,
1.0,500.0,0.0,1.0,510.0,13214612,13216738,13207004,2023-05-03,,
1.0,510.0,0.0,1.0,494.0,13207019,13207018,13221138,2023-05-03,,
1.0,485.0,1.0,1.0,528.0,13221154,13216738,13207005,2023-05-03,,
1.0,380.0,0.0,1.0,359.0,13221157,13208376,13207004,2023-05-03,,
,,0.0,1.0,465.0,13216822,13216738,13216152,2023-05-03,,
1.0,510.0,0.0,1.0,607.0,13214588,13216749,13207004,2023-05-03,,
1.0,480.0,1.0,1.0,461.0,13221156,13208378,13221141,2023-05-03,,
1.0,510.0,0.0,1.0,506.0,13221153,13216744,13207004,2023-05-03,,
1.0,480.0,0.0,1.0,484.0,13221155,13208373,13207004,2023-05-03,,
1.0,540.0,0.0,1.0,506.0,13214565,13208368,13207004,2023-05-03,,
1.0,480.0,0.0,1.0,493.0,13214552,13208375,13207005,2023-05-03,,
1.0,525.0,1.0,1.0,505.0,13221164,13216742,13207004,2023-05-03,,
1.0,480.0,0.0,1.0,481.0,13221181,13207018,13221142,2023-05-03,,
1.0,435.0,0.0,1.0,450.0,13214615,13208373,13207005,2023-05-03,,
1.0,480.0,0.0,1.0,461.0,13214539,13208372,13207005,2023-05-03,,
1.0,480.0,0.0,1.0,492.0,13221151,13208378,13221141,2023-05-03,,
1.0,390.0,0.0,1.0,390.0,13214545,13208374,13207005,2023-05-03,,
1.0,510.0,0.0,1.0,570.0,13221172,13208377,13207005,2023-05-03,,
1.0,480.0,0.0,1.0,483.0,13214556,13208376,13207005,2023-05-03,,
1.0,465.0,0.0,1.0,596.0,13221176,13208370,13207005,2023-05-03,,
1.0,480.0,1.0,1.0,581.0,13217167,13216739,13207004,2023-05-03,,
1.0,465.0,1.0,1.0,583.0,13216802,13208370,13207004,2023-05-03,,
1.0,450.0,0.0,1.0,451.0,13214522,13208368,13216464,2023-05-03,,
1.0,255.0,0.0,1.0,390.0,13214527,13216744,13207005,2023-05-03,,
1.0,465.0,0.0,1.0,465.0,13214581,13208371,13207005,2023-05-03,,
1.0,360.0,0.0,1.0,180.0,13214537,13208371,13216464,2023-05-03,,
1.0,420.0,0.0,1.0,427.0,13214614,13208368,13207005,2023-05-03,,
1.0,480.0,0.0,1.0,482.0,13218801,13216732,13207005,2023-05-03,,
1.0,435.0,0.0,1.0,450.0,13214600,13208373,13207005,2023-05-03,,
1.0,360.0,0.0,1.0,306.0,13214586,13216744,13207005,2023-05-03,,
1.0,300.0,0.0,1.0,444.0,13214602,13208369,13207005,2023-05-03,,
1.0,480.0,0.0,1.0,488.0,13221171,13216742,13207005,2023-05-03,,
1.0,480.0,0.0,1.0,468.0,13214572,13208371,13207004,2023-05-03,,
,,0.0,1.0,185.0,13214582,13208371,13207005,2023-05-03,,
1.0,480.0,0.0,1.0,480.0,13214546,13208374,13207005,2023-05-03,,
1.0,285.0,0.0,1.0,300.0,13214611,13208369,13207005,2023-05-03,,
1.0,360.0,0.0,1.0,351.0,13218870,13216739,13207005,2023-05-03,,
1.0,375.0,0.0,1.0,382.0,13214574,13208368,13207005,2023-05-03,,
1.0,330.0,0.0,1.0,320.0,13214561,13208377,13207005,2023-05-03,,
1.0,420.0,0.0,1.0,429.0,13226975,13216749,13207005,2023-05-03,,
1.0,465.0,1.0,1.0,300.0,13214531,13208370,13207005,2023-05-03,,
1.0,360.0,0.0,1.0,365.0,13214613,13208376,13207005,2023-05-03,,
1.0,420.0,0.0,1.0,427.0,13221167,13216749,13207005,2023-05-03,,
1.0,330.0,0.0,1.0,346.0,13214554,13208375,13207005,2023-05-03,,
1.0,300.0,0.0,1.0,275.0,13214585,13216744,13207005,2023-05-03,,
1.0,360.0,1.0,1.0,341.0,13214605,13208376,13207005,2023-05-03,,
1.0,180.0,1.0,1.0,170.0,13226587,13216742,13207005,2023-05-03,,
1.0,480.0,,,,13221152,13208378,13221141,2023-05-03,,
1.0,1260.0,,,,13221159,13208369,13216152,2023-05-03,,
1.0,510.0,,,,13214577,13208372,13207005,2023-05-03,,
1.0,285.0,,,,13214530,13208369,13207005,2023-05-03,,
1.0,480.0,,,,13245713,13208378,13221141,2023-05-03,,
1.0,360.0,,,,13221161,13216749,13207005,2023-05-03,,
1.0,480.0,0.0,1.0,587.0,13221178,13207018,13221142,2023-05-04,,
1.0,480.0,0.0,1.0,487.0,13221169,13207018,13221139,2023-05-04,,
1.0,475.0,0.0,1.0,556.0,13221173,13207018,13216152,2023-05-04,,
1.0,660.0,1.0,1.0,616.0,13221166,13208378,13207004,2023-05-04,,
1.0,480.0,0.0,1.0,489.0,13221162,13208378,13221141,2023-05-04,,
1.0,480.0,0.0,1.0,506.0,13221156,13208378,13221141,2023-05-04,,
1.0,480.0,0.0,1.0,488.0,13214543,13208373,13207005,2023-05-04,,
1.0,480.0,0.0,1.0,547.0,13221165,13208378,13221141,2023-05-04,,
1.0,510.0,0.0,1.0,487.0,13214562,13208377,13207005,2023-05-04,,
1.0,480.0,0.0,1.0,486.0,13214615,13208373,13207005,2023-05-04,,
1.0,480.0,0.0,1.0,554.0,13221155,13208373,13207004,2023-05-04,,
1.0,1260.0,0.0,1.0,477.0,13221159,13208373,13216152,2023-05-04,,
1.0,510.0,0.0,1.0,765.0,13221172,13208377,13207005,2023-05-04,,
1.0,510.0,0.0,1.0,509.0,13214588,13216749,13207004,2023-05-04,,
1.0,510.0,0.0,1.0,490.0,13221153,13216744,13207004,2023-05-04,,
1.0,480.0,0.0,1.0,494.0,13214528,13216732,13207004,2023-05-04,,
1.0,540.0,1.0,1.0,572.0,13214572,13208371,13207004,2023-05-04,,
1.0,510.0,0.0,1.0,379.0,13216822,13208377,13216152,2023-05-04,,
1.0,480.0,0.0,1.0,450.0,13245713,13208378,13221141,2023-05-04,,
1.0,480.0,0.0,1.0,421.0,13214591,13208373,13207005,2023-05-04,,
1.0,540.0,1.0,1.0,521.0,13214565,13208368,13207004,2023-05-04,,
1.0,480.0,0.0,1.0,465.0,13221181,13207018,13221142,2023-05-04,,
1.0,480.0,0.0,1.0,492.0,13214552,13208375,13207005,2023-05-04,,
1.0,510.0,0.0,1.0,550.0,13214529,13208374,13207004,2023-05-04,,
1.0,480.0,0.0,1.0,490.0,13221151,13208378,13221141,2023-05-04,,
1.0,420.0,0.0,1.0,431.0,13214545,13208374,13207005,2023-05-04,,
1.0,510.0,0.0,1.0,489.0,13221154,13216738,13207005,2023-05-04,,
1.0,285.0,0.0,1.0,304.0,13214601,13208369,13207005,2023-05-04,,
1.0,480.0,0.0,1.0,449.0,13214540,13208372,13207005,2023-05-04,,
1.0,345.0,0.0,1.0,675.0,13221176,13208370,13207005,2023-05-04,,
1.0,480.0,1.0,1.0,390.0,13207019,13207018,13221138,2023-05-04,,
1.0,360.0,0.0,1.0,360.0,13214613,13208376,13207005,2023-05-04,,
1.0,480.0,0.0,1.0,478.0,13214560,13208377,13207005,2023-05-04,,
1.0,480.0,1.0,1.0,644.0,13221164,13216742,13207004,2023-05-04,,
1.0,360.0,0.0,1.0,383.0,13218870,13216739,13207005,2023-05-04,,
1.0,345.0,1.0,1.0,630.0,13214534,13208370,13207005,2023-05-04,,
1.0,480.0,0.0,1.0,489.0,13214582,13208371,13207005,2023-05-04,,
1.0,420.0,0.0,1.0,407.0,13214586,13208368,13207005,2023-05-04,,
1.0,540.0,1.0,1.0,541.0,13214527,13208368,13207005,2023-05-04,,
1.0,480.0,0.0,1.0,476.0,13221171,13216742,13207005,2023-05-04,,
1.0,300.0,0.0,1.0,303.0,13214585,13216744,13207005,2023-05-04,,
1.0,300.0,0.0,1.0,304.0,13214602,13208369,13207005,2023-05-04,,
1.0,450.0,0.0,1.0,478.0,13217167,13216739,13207004,2023-05-04,,
1.0,480.0,0.0,1.0,457.0,13214599,13216738,13207005,2023-05-04,,
1.0,510.0,0.0,1.0,505.0,13214548,13208374,13207005,2023-05-04,,
1.0,510.0,0.0,2.0,889.0,13214577,13208372,13207005,2023-05-04,,
1.0,420.0,0.0,1.0,421.0,13221161,13216749,13207005,2023-05-04,,
1.0,360.0,0.0,1.0,367.0,13218801,13216732,13207005,2023-05-04,,
1.0,390.0,0.0,1.0,374.0,13214536,13208371,13207005,2023-05-04,,
1.0,285.0,0.0,1.0,320.0,13214530,13208369,13207005,2023-05-04,,
1.0,480.0,0.0,1.0,481.0,13214556,13208376,13207005,2023-05-04,,
1.0,285.0,0.0,1.0,371.0,13214531,13208370,13207005,2023-05-04,,
1.0,300.0,0.0,1.0,199.0,13221168,13216742,13207005,2023-05-04,,
1.0,375.0,0.0,1.0,376.0,13214614,13208368,13207005,2023-05-04,,
1.0,360.0,0.0,1.0,358.0,13214605,13208376,13207005,2023-05-04,,
